月の出,月の入,月齢
 8:39,23:24,  5.0
 9:50,23:45,  6.0
10:57,--:--,  7.0
12:01, 0:04,  8.0
13:03, 0:21,  9.0
14:06, 0:38, 10.0
15:09, 0:56, 11.0
16:14, 1:17, 12.0
17:19, 1:41, 13.0
18:24, 2:10, 14.0
19:25, 2:47, 15.0
20:20, 3:34, 16.0
21:05, 4:31, 17.0
21:42, 5:36, 18.0
22:12, 6:47, 19.0
22:37, 7:59, 20.0
22:59, 9:12, 21.0
23:19,10:24, 22.0
23:40,11:37, 23.0
--:--,12:52, 24.0
 0:02,14:11, 25.0
 0:28,15:32, 26.0
 1:01,16:54, 27.0
 1:43,18:12, 28.0
 2:38,19:20, 29.0
 3:45,20:13,  0.7
 5:00,20:53,  1.7
 6:17,21:23,  2.7
 7:31,21:47,  3.7
 8:41,22:08,  4.7
