月の出,月の入,月齢
12:12,22:44,  7.3
13:11,23:15,  8.3
14:11,23:51,  9.3
15:11,--:--, 10.3
16:08, 0:34, 11.3
17:01, 1:26, 12.3
17:48, 2:24, 13.3
18:29, 3:29, 14.3
19:04, 4:36, 15.3
19:35, 5:45, 16.3
20:03, 6:53, 17.3
20:31, 8:00, 18.3
20:59, 9:08, 19.3
21:29,10:17, 20.3
22:03,11:28, 21.3
22:44,12:40, 22.3
23:33,13:53, 23.3
--:--,15:01, 24.3
 0:31,16:02, 25.3
 1:36,16:54, 26.3
 2:45,17:36, 27.3
 3:54,18:11, 28.3
 5:01,18:41, 29.3
 6:04,19:07,  0.9
 7:05,19:31,  1.9
 8:04,19:54,  2.9
 9:02,20:18,  3.9
10:00,20:44,  4.9
10:59,21:13,  5.9
11:59,21:47,  6.9
12:58,22:27,  7.9
