月の出,月の入,月齢
20:22,5:00,16.0
20:55,6:01,17.0
21:23,7:04,18.0
21:48,8:06,19.0
22:11,9:09,20.0
22:35,10:11,21.0
22:59,11:16,22.0
23:26,12:22,23.0
23:58,13:33,24.0
--:--,14:47,25.0
0:38,16:03,26.0
1:29,17:17,27.0
2:31,18:21,28.0
3:44,19:15,29.0
5:02,19:58,0.7
6:20,20:32,1.7
7:34,21:01,2.7
8:44,21:26,3.7
9:50,21:50,4.7
10:54,22:14,5.7
11:57,22:39,6.7
13:00,23:07,7.7
14:02,23:40,8.7
15:03,--:--,9.7
16:01,0:18,10.7
16:55,1:02,11.7
17:42,1:54,12.7
18:22,2:52,13.7
18:57,3:53,14.7
19:26,4:56,15.7
19:52,5:59,16.7
