月の出,月の入,月齢
14:19,23:50,  9.3
14:57,--:--, 10.3
15:30, 0:57, 11.3
15:59, 2:06, 12.3
16:27, 3:15, 13.3
16:54, 4:26, 14.3
17:22, 5:38, 15.3
17:54, 6:52, 16.3
18:31, 8:09, 17.3
19:15, 9:28, 18.3
20:09,10:44, 19.3
21:11,11:52, 20.3
22:19,12:50, 21.3
23:28,13:37, 22.3
--:--,14:15, 23.3
 0:36,14:46, 24.3
 1:41,15:12, 25.3
 2:43,15:36, 26.3
 3:43,15:58, 27.3
 4:41,16:21, 28.3
 5:40,16:44, 29.3
 6:39,17:10,  0.6
 7:40,17:39,  1.6
 8:40,18:14,  2.6
 9:40,18:54,  3.6
10:36,19:42,  4.6
11:28,20:37,  5.6
12:14,21:38,  6.6
12:53,22:41,  7.6
13:27,23:47,  8.6
13:57,--:--,  9.6
