月の出,月の入,月齢
 9:23,23:32,  5.0
10:28,23:59,  6.0
11:29,--:--,  7.0
12:27, 0:24,  8.0
13:24, 0:46,  9.0
14:21, 1:08, 10.0
15:18, 1:32, 11.0
16:17, 1:57, 12.0
17:18, 2:27, 13.0
18:18, 3:01, 14.0
19:17, 3:42, 15.0
20:11, 4:31, 16.0
20:59, 5:28, 17.0
21:41, 6:30, 18.0
22:16, 7:35, 19.0
22:47, 8:42, 20.0
23:15, 9:48, 21.0
23:41,10:54, 22.0
--:--,12:00, 23.0
 0:08,13:09, 24.0
 0:37,14:20, 25.0
 1:10,15:35, 26.0
 1:49,16:51, 27.0
 2:37,18:05, 28.0
 3:35,19:12, 29.0
 4:41,20:08,  0.7
 5:52,20:53,  1.7
 7:04,21:29,  2.7
 8:11,21:59,  3.7
 9:15,22:25,  4.7
