月の出,月の入,月齢
14:14,23:47,  8.9
15:08,--:--,  9.9
15:58, 0:42, 10.9
16:42, 1:43, 11.9
17:20, 2:48, 12.9
17:54, 3:55, 13.9
18:26, 5:02, 14.9
18:55, 6:09, 15.9
19:25, 7:17, 16.9
19:57, 8:26, 17.9
20:32, 9:37, 18.9
21:13,10:49, 19.9
22:02,12:02, 20.9
22:58,13:12, 21.9
--:--,14:15, 22.9
 0:01,15:09, 23.9
 1:07,15:55, 24.9
 2:14,16:32, 25.9
 3:19,17:04, 26.9
 4:21,17:32, 27.9
 5:20,17:58, 28.9
 6:18,18:23,  0.3
 7:15,18:48,  1.3
 8:11,19:14,  2.3
 9:09,19:43,  3.3
10:07,20:16,  4.3
11:05,20:55,  5.3
12:03,21:39,  6.3
12:58,22:31,  7.3
13:49,23:28,  8.3
