月の出,月の入,月齢
10:33,23:05,  5.7
11:31,23:28,  6.7
12:28,23:51,  7.7
13:25,--:--,  8.7
14:23, 0:16,  9.7
15:23, 0:45, 10.7
16:23, 1:17, 11.7
17:23, 1:57, 12.7
18:19, 2:43, 13.7
19:10, 3:38, 14.7
19:54, 4:39, 15.7
20:32, 5:44, 16.7
21:05, 6:51, 17.7
21:34, 7:58, 18.7
22:01, 9:04, 19.7
22:28,10:10, 20.7
22:56,11:17, 21.7
23:27,12:25, 22.7
--:--,13:37, 23.7
 0:03,14:50, 24.7
 0:47,16:03, 25.7
 1:40,17:11, 26.7
 2:42,18:10, 27.7
 3:50,19:00, 28.7
 5:01,19:40,  0.3
 6:11,20:13,  1.3
 7:16,20:41,  2.3
 8:19,21:06,  3.3
 9:18,21:29,  4.3
10:16,21:53,  5.3
11:14,22:17,  6.3
