月の出,月の入,月齢
 8:38,18:30,  1.2
 9:21,19:39,  2.2
 9:57,20:47,  3.2
10:29,21:54,  4.2
10:58,23:01,  5.2
11:27,--:--,  6.2
11:56, 0:07,  7.2
12:27, 1:15,  8.2
13:03, 2:24,  9.2
13:45, 3:36, 10.2
14:35, 4:47, 11.2
15:34, 5:54, 12.2
16:38, 6:54, 13.2
17:46, 7:44, 14.2
18:52, 8:26, 15.2
19:55, 9:00, 16.2
20:55, 9:29, 17.2
21:52, 9:55, 18.2
22:48,10:19, 19.2
23:43,10:43, 20.2
--:--,11:07, 21.2
 0:39,11:33, 22.2
 1:37,12:02, 23.2
 2:36,12:37, 24.2
 3:37,13:18, 25.2
 4:38,14:08, 26.2
 5:36,15:06, 27.2
 6:29,16:12, 28.2
 7:15,17:21, 29.2
 7:54,18:32,  0.6
 8:29,19:42,  1.6
