月の出,月の入,月齢
 7:19,21:59,  2.7
 8:02,23:14,  3.7
 8:54,--:--,  4.7
 9:53, 0:22,  5.7
10:57, 1:21,  6.7
12:03, 2:10,  7.7
13:08, 2:50,  8.7
14:10, 3:23,  9.7
15:10, 3:51, 10.7
16:07, 4:15, 11.7
17:03, 4:39, 12.7
18:00, 5:01, 13.7
18:56, 5:24, 14.7
19:54, 5:49, 15.7
20:54, 6:18, 16.7
21:54, 6:50, 17.7
22:53, 7:29, 18.7
23:49, 8:15, 19.7
--:--, 9:08, 20.7
 0:39,10:08, 21.7
 1:24,11:12, 22.7
 2:02,12:19, 23.7
 2:36,13:27, 24.7
 3:07,14:36, 25.7
 3:36,15:46, 26.7
 4:05,16:59, 27.7
 4:36,18:13, 28.7
 5:11,19:31,  0.3
 5:52,20:49,  1.3
 6:41,22:03,  2.3
