月の出,月の入,月齢
20:26,5:24,16.0
21:00,6:24,17.0
21:30,7:24,18.0
21:57,8:25,19.0
22:23,9:25,20.0
22:48,10:25,21.0
23:15,11:27,22.0
23:44,12:32,23.0
--:--,13:40,24.0
0:19,14:52,25.0
1:01,16:06,26.0
1:53,17:18,27.0
2:56,18:23,28.0
4:09,19:18,29.0
5:25,20:03,0.7
6:40,20:40,1.7
7:52,21:11,2.7
8:59,21:39,3.7
10:03,22:05,4.7
11:05,22:31,5.7
12:06,22:58,6.7
13:06,23:28,7.7
14:06,--:--,8.7
15:06,0:03,9.7
16:03,0:42,10.7
16:56,1:28,11.7
17:44,2:19,12.7
18:25,3:16,13.7
19:01,4:16,14.7
19:33,5:17,15.7
20:01,6:18,16.7
