月の出,月の入,月齢
10:56,23:25,  5.7
11:52,23:51,  6.7
12:46,--:--,  7.7
13:41, 0:16,  8.7
14:38, 0:43,  9.7
15:35, 1:13, 10.7
16:34, 1:48, 11.7
17:33, 2:29, 12.7
18:28, 3:17, 13.7
19:20, 4:11, 14.7
20:05, 5:12, 15.7
20:45, 6:15, 16.7
21:20, 7:20, 17.7
21:51, 8:25, 18.7
22:21, 9:28, 19.7
22:50,10:32, 20.7
23:21,11:36, 21.7
23:54,12:42, 22.7
--:--,13:51, 23.7
 0:33,15:02, 24.7
 1:18,16:14, 25.7
 2:13,17:21, 26.7
 3:15,18:21, 27.7
 4:23,19:11, 28.7
 5:32,19:53,  0.3
 6:39,20:28,  1.3
 7:43,20:58,  2.3
 8:43,21:26,  3.3
 9:40,21:51,  4.3
10:36,22:17,  5.3
11:31,22:43,  6.3
