月の出,月の入,月齢
20:23,7:14,17.7
20:48,8:15,18.7
21:14,9:16,19.7
21:41,10:20,20.7
22:13,11:26,21.7
22:51,12:35,22.7
23:37,13:47,23.7
--:--,14:58,24.7
0:34,16:05,25.7
1:40,17:03,26.7
2:54,17:51,27.7
4:09,18:30,28.7
5:23,19:04,0.4
6:33,19:33,1.4
7:40,20:00,2.4
8:45,20:26,3.4
9:48,20:53,4.4
10:50,21:22,5.4
11:52,21:55,6.4
12:52,22:32,7.4
13:51,23:16,8.4
14:46,--:--,9.4
15:36,0:05,10.4
16:20,1:00,11.4
16:58,1:59,12.4
17:31,3:01,13.4
18:00,4:03,14.4
18:27,5:04,15.4
18:52,6:06,16.4
19:18,7:09,17.4
19:45,8:12,18.4
