月の出,月の入,月齢
14:34,--:--,  9.3
15:14, 0:27, 10.3
15:49, 1:32, 11.3
16:21, 2:38, 12.3
16:51, 3:45, 13.3
17:20, 4:53, 14.3
17:51, 6:02, 15.3
18:26, 7:14, 16.3
19:05, 8:29, 17.3
19:52, 9:45, 18.3
20:47,10:59, 19.3
21:49,12:07, 20.3
22:56,13:05, 21.3
--:--,13:54, 22.3
 0:04,14:33, 23.3
 1:10,15:06, 24.3
 2:12,15:35, 25.3
 3:12,16:00, 26.3
 4:10,16:25, 27.3
 5:06,16:49, 28.3
 6:03,17:15, 29.3
 7:00,17:42,  0.6
 7:58,18:14,  1.6
 8:57,18:50,  2.6
 9:55,19:32,  3.6
10:51,20:21,  4.6
11:42,21:15,  5.6
12:29,22:15,  6.6
13:10,23:17,  7.6
13:45,--:--,  8.6
14:18, 0:20,  9.6
