月の出,月の入,月齢
 8:47,20:37,  2.6
 9:16,21:45,  3.6
 9:45,22:54,  4.6
10:16,--:--,  5.6
10:51, 0:03,  6.6
11:30, 1:14,  7.6
12:17, 2:25,  8.6
13:12, 3:32,  9.6
14:13, 4:33, 10.6
15:18, 5:26, 11.6
16:24, 6:10, 12.6
17:28, 6:46, 13.6
18:29, 7:17, 14.6
19:27, 7:44, 15.6
20:24, 8:08, 16.6
21:20, 8:32, 17.6
22:15, 8:56, 18.6
23:12, 9:21, 19.6
--:--, 9:48, 20.6
 0:11,10:20, 21.6
 1:11,10:58, 22.6
 2:11,11:43, 23.6
 3:09,12:36, 24.6
 4:04,13:38, 25.6
 4:52,14:45, 26.6
 5:35,15:56, 27.6
 6:11,17:07, 28.6
 6:44,18:17,  0.1
