月の出,月の入,月齢
 8:20,17:23,  1.2
 8:59,18:36,  2.2
 9:30,19:51,  3.2
 9:57,21:04,  4.2
10:20,22:16,  5.2
10:43,23:28,  6.2
11:06,--:--,  7.2
11:32, 0:42,  8.2
12:02, 1:57,  9.2
12:39, 3:14, 10.2
13:26, 4:29, 11.2
14:23, 5:39, 12.2
15:28, 6:38, 13.2
16:39, 7:26, 14.2
17:50, 8:03, 15.2
18:59, 8:33, 16.2
20:04, 8:57, 17.2
21:06, 9:18, 18.2
22:07, 9:38, 19.2
23:07, 9:56, 20.2
--:--,10:16, 21.2
 0:08,10:37, 22.2
 1:11,11:02, 23.2
 2:15,11:32, 24.2
 3:20,12:09, 25.2
 4:24,12:57, 26.2
 5:22,13:55, 27.2
 6:13,15:03, 28.2
 6:55,16:17, 29.2
 7:30,17:33,  0.6
 7:58,18:49,  1.6
