月の出,月の入,月齢
 6:57,21:47,  2.7
 7:39,23:03,  3.7
 8:29,--:--,  4.7
 9:27, 0:12,  5.7
10:32, 1:11,  6.7
11:39, 1:59,  7.7
12:45, 2:38,  8.7
13:49, 3:09,  9.7
14:50, 3:36, 10.7
15:49, 4:00, 11.7
16:46, 4:21, 12.7
17:44, 4:43, 13.7
18:42, 5:05, 14.7
19:41, 5:29, 15.7
20:42, 5:56, 16.7
21:43, 6:27, 17.7
22:42, 7:05, 18.7
23:38, 7:50, 19.7
--:--, 8:43, 20.7
 0:29, 9:43, 21.7
 1:12,10:48, 22.7
 1:50,11:57, 23.7
 2:22,13:06, 24.7
 2:52,14:17, 25.7
 3:19,15:29, 26.7
 3:47,16:42, 27.7
 4:16,17:59, 28.7
 4:49,19:18,  0.3
 5:29,20:37,  1.3
 6:16,21:53,  2.3
