月の出,月の入,月齢
 7:03,19:15,  1.1
 7:32,20:27,  2.1
 8:02,21:40,  3.1
 8:35,22:53,  4.1
 9:13,--:--,  5.1
 9:58, 0:07,  6.1
10:50, 1:17,  7.1
11:50, 2:20,  8.1
12:54, 3:15,  9.1
13:59, 4:00, 10.1
15:04, 4:38, 11.1
16:06, 5:09, 12.1
17:05, 5:36, 13.1
18:03, 6:00, 14.1
18:59, 6:23, 15.1
19:56, 6:46, 16.1
20:53, 7:09, 17.1
21:51, 7:35, 18.1
22:51, 8:05, 19.1
23:51, 8:39, 20.1
--:--, 9:20, 21.1
 0:50,10:09, 22.1
 1:45,11:05, 23.1
 2:35,12:09, 24.1
 3:18,13:17, 25.1
 3:56,14:27, 26.1
 4:29,15:38, 27.1
 4:59,16:50, 28.1
 5:29,18:02, 29.1
 5:59,19:16,  0.7
 6:31,20:32,  1.7
