月の出,月の入,月齢
 8:38,20:27,  2.6
 9:07,21:36,  3.6
 9:35,22:45,  4.6
10:05,23:56,  5.6
10:39,--:--,  6.6
11:18, 1:07,  7.6
12:04, 2:18,  8.6
12:58, 3:26,  9.6
14:00, 4:28, 10.6
15:05, 5:20, 11.6
16:11, 6:03, 12.6
17:16, 6:39, 13.6
18:18, 7:09, 14.6
19:17, 7:35, 15.6
20:14, 7:59, 16.6
21:11, 8:22, 17.6
22:07, 8:45, 18.6
23:05, 9:10, 19.6
--:--, 9:37, 20.6
 0:04,10:08, 21.6
 1:04,10:45, 22.6
 2:05,11:30, 23.6
 3:04,12:23, 24.6
 3:58,13:24, 25.6
 4:46,14:32, 26.6
 5:28,15:43, 27.6
 6:04,16:55, 28.6
 6:36,18:07,  0.1
