月の出,月の入,月齢
14:04,4:21,12.1
15:05,5:35,13.1
16:16,6:42,14.1
17:31,7:38,15.1
18:45,8:22,16.1
19:55,8:58,17.1
21:01,9:28,18.1
22:04,9:55,19.1
23:04,10:19,20.1
--:--,10:43,21.1
0:03,11:07,22.1
1:02,11:34,23.1
2:01,12:04,24.1
3:01,12:40,25.1
4:00,13:22,26.1
4:56,14:10,27.1
5:48,15:06,28.1
6:34,16:07,29.1
7:13,17:11,0.3
7:47,18:15,1.3
8:17,19:19,2.3
8:44,20:23,3.3
9:10,21:27,4.3
9:35,22:32,5.3
10:03,23:40,6.3
10:33,--:--,7.3
11:10,0:51,8.3
11:54,2:04,9.3
12:48,3:17,10.3
13:53,4:25,11.3
15:05,5:24,12.3
