月の出,月の入,月齢
13:46,23:04,  8.9
14:41,23:59,  9.9
15:30,--:--, 10.9
16:13, 1:01, 11.9
16:50, 2:07, 12.9
17:23, 3:15, 13.9
17:53, 4:24, 14.9
18:21, 5:32, 15.9
18:49, 6:42, 16.9
19:19, 7:52, 17.9
19:53, 9:05, 18.9
20:32,10:19, 19.9
21:19,11:33, 20.9
22:15,12:44, 21.9
23:18,13:47, 22.9
--:--,14:41, 23.9
 0:25,15:26, 24.9
 1:33,16:02, 25.9
 2:39,16:33, 26.9
 3:43,16:59, 27.9
 4:44,17:24, 28.9
 5:43,17:47,  0.3
 6:41,18:11,  1.3
 7:39,18:36,  2.3
 8:38,19:04,  3.3
 9:37,19:35,  4.3
10:37,20:13,  5.3
11:35,20:56,  6.3
12:31,21:47,  7.3
13:21,22:45,  8.3
