月の出,月の入,月齢
14:23, 0:55, 10.6
14:50, 2:02, 11.6
15:18, 3:10, 12.6
15:49, 4:22, 13.6
16:24, 5:37, 14.6
17:07, 6:55, 15.6
17:58, 8:14, 16.6
18:59, 9:29, 17.6
20:08,10:34, 18.6
21:19,11:28, 19.6
22:29,12:11, 20.6
23:35,12:45, 21.6
--:--,13:14, 22.6
 0:37,13:39, 23.6
 1:37,14:03, 24.6
 2:35,14:26, 25.6
 3:32,14:49, 26.6
 4:30,15:15, 27.6
 5:29,15:44, 28.6
 6:29,16:18, 29.6
 7:28,16:57,  0.8
 8:26,17:43,  1.8
 9:19,18:36,  2.8
10:07,19:34,  3.8
10:48,20:36,  4.8
11:23,21:39,  5.8
11:55,22:42,  6.8
12:23,23:46,  7.8
12:49,--:--,  8.8
13:16, 0:51,  9.8
