月の出,月の入,月齢
14:28,4:36,12.1
15:29,5:49,13.1
16:40,6:56,14.1
17:54,7:52,15.1
19:07,8:38,16.1
20:17,9:15,17.1
21:21,9:46,18.1
22:23,10:13,19.1
23:22,10:38,20.1
--:--,11:03,21.1
0:20,11:28,22.1
1:18,11:56,23.1
2:17,12:27,24.1
3:16,13:03,25.1
4:14,13:45,26.1
5:10,14:35,27.1
6:02,15:30,28.1
6:48,16:31,29.1
7:28,17:33,0.3
8:03,18:37,1.3
8:34,19:40,2.3
9:01,20:43,3.3
9:28,21:46,4.3
9:55,22:50,5.3
10:23,23:57,6.3
10:55,--:--,7.3
11:32,1:07,8.3
12:17,2:19,9.3
13:13,3:31,10.3
14:17,4:39,11.3
15:29,5:38,12.3
