月の出,月の入,月齢
10:08,22:43,  5.7
11:09,23:03,  6.7
12:10,23:23,  7.7
13:10,23:46,  8.7
14:11,--:--,  9.7
15:14, 0:11, 10.7
16:17, 0:41, 11.7
17:18, 1:17, 12.7
18:15, 2:03, 13.7
19:05, 2:57, 14.7
19:47, 3:59, 15.7
20:22, 5:07, 16.7
20:51, 6:17, 17.7
21:17, 7:28, 18.7
21:41, 8:38, 19.7
22:04, 9:47, 20.7
22:29,10:58, 21.7
22:56,12:10, 22.7
23:29,13:25, 23.7
--:--,14:42, 24.7
 0:09,15:58, 25.7
 0:59,17:07, 26.7
 2:01,18:05, 27.7
 3:11,18:52, 28.7
 4:25,19:29,  0.3
 5:37,19:59,  1.3
 6:47,20:24,  2.3
 7:53,20:45,  3.3
 8:56,21:06,  4.3
 9:57,21:26,  5.3
10:58,21:48,  6.3
