月の出,月の入,月齢
 8:56,20:46,  2.6
 9:25,21:54,  3.6
 9:53,23:03,  4.6
10:24,--:--,  5.6
10:58, 0:13,  6.6
11:37, 1:24,  7.6
12:24, 2:35,  8.6
13:18, 3:43,  9.6
14:20, 4:44, 10.6
15:25, 5:36, 11.6
16:31, 6:20, 12.6
17:35, 6:56, 13.6
18:37, 7:26, 14.6
19:36, 7:53, 15.6
20:32, 8:17, 16.6
21:29, 8:40, 17.6
22:25, 9:03, 18.6
23:22, 9:28, 19.6
--:--, 9:55, 20.6
 0:21,10:27, 21.6
 1:21,11:04, 22.6
 2:22,11:49, 23.6
 3:20,12:43, 24.6
 4:14,13:44, 25.6
 5:03,14:52, 26.6
 5:45,16:03, 27.6
 6:21,17:14, 28.6
 6:53,18:26,  0.1
