月の出,月の入,月齢
20:16,10:43,20.0
21:15,11:52,21.0
22:22,12:54,22.0
23:34,13:46,23.0
--:--,14:28,24.0
0:46,15:03,25.0
1:57,15:33,26.0
3:05,16:00,27.0
4:11,16:25,28.0
5:15,16:51,29.0
6:19,17:17,0.5
7:23,17:46,1.5
8:27,18:20,2.5
9:30,18:58,3.5
10:29,19:43,4.5
11:24,20:34,5.5
12:12,21:29,6.5
12:54,22:29,7.5
13:29,23:30,8.5
14:00,--:--,9.5
14:28,0:31,10.5
14:53,1:33,11.5
15:18,2:36,12.5
15:44,3:40,13.5
16:12,4:47,14.5
16:44,5:57,15.5
17:22,7:11,16.5
18:09,8:26,17.5
19:07,9:40,18.5
20:13,10:46,19.5
21:25,11:42,20.5
