月の出,月の入,月齢
10:32,--:--,  5.0
11:31, 0:06,  6.0
12:26, 0:39,  7.0
13:19, 1:09,  8.0
14:10, 1:36,  9.0
15:01, 2:04, 10.0
15:53, 2:33, 11.0
16:47, 3:04, 12.0
17:43, 3:38, 13.0
18:40, 4:17, 14.0
19:37, 5:02, 15.0
20:31, 5:52, 16.0
21:21, 6:48, 17.0
22:06, 7:48, 18.0
22:46, 8:48, 19.0
23:22, 9:49, 20.0
23:56,10:49, 21.0
--:--,11:49, 22.0
 0:29,12:49, 23.0
 1:02,13:51, 24.0
 1:37,14:56, 25.0
 2:16,16:04, 26.0
 3:02,17:15, 27.0
 3:55,18:26, 28.0
 4:55,19:32, 29.0
 6:02,20:30,  0.7
 7:09,21:20,  1.7
 8:15,22:01,  2.7
 9:17,22:36,  3.7
10:15,23:08,  4.7
