月の出,月の入,月齢
20:24,7:16,17.7
20:50,8:17,18.7
21:16,9:18,19.7
21:44,10:21,20.7
22:16,11:27,21.7
22:54,12:36,22.7
23:40,13:48,23.7
--:--,14:59,24.7
0:37,16:05,25.7
1:43,17:03,26.7
2:57,17:51,27.7
4:12,18:31,28.7
5:25,19:05,0.4
6:35,19:34,1.4
7:42,20:01,2.4
8:46,20:28,3.4
9:49,20:55,4.4
10:51,21:25,5.4
11:52,21:58,6.4
12:53,22:35,7.4
13:51,23:19,8.4
14:46,--:--,9.4
15:36,0:08,10.4
16:20,1:03,11.4
16:58,2:02,12.4
17:31,3:03,13.4
18:01,4:05,14.4
18:28,5:07,15.4
18:54,6:08,16.4
19:20,7:10,17.4
19:47,8:14,18.4
