月の出,月の入,月齢
12:01,22:28,  7.3
13:01,22:58,  8.3
14:02,23:33,  9.3
15:02,--:--, 10.3
16:00, 0:16, 11.3
16:53, 1:07, 12.3
17:40, 2:06, 13.3
18:20, 3:11, 14.3
18:54, 4:19, 15.3
19:24, 5:29, 16.3
19:51, 6:38, 17.3
20:17, 7:46, 18.3
20:44, 8:55, 19.3
21:13,10:05, 20.3
21:47,11:17, 21.3
22:27,12:31, 22.3
23:15,13:44, 23.3
--:--,14:53, 24.3
 0:12,15:54, 25.3
 1:18,16:45, 26.3
 2:27,17:27, 27.3
 3:37,18:01, 28.3
 4:45,18:29, 29.3
 5:49,18:54,  0.9
 6:51,19:18,  1.9
 7:51,19:40,  2.9
 8:50,20:03,  3.9
 9:49,20:28,  4.9
10:49,20:57,  5.9
11:49,21:30,  6.9
12:50,22:09,  7.9
