月の出,月の入,月齢
 6:54,21:42,  2.7
 7:36,22:58,  3.7
 8:26,--:--,  4.7
 9:25, 0:07,  5.7
10:29, 1:06,  6.7
11:36, 1:55,  7.7
12:42, 2:34,  8.7
13:46, 3:05,  9.7
14:46, 3:32, 10.7
15:45, 3:56, 11.7
16:42, 4:18, 12.7
17:40, 4:39, 13.7
18:38, 5:02, 14.7
19:37, 5:26, 15.7
20:37, 5:53, 16.7
21:38, 6:24, 17.7
22:38, 7:02, 18.7
23:34, 7:47, 19.7
--:--, 8:40, 20.7
 0:24, 9:40, 21.7
 1:08,10:46, 22.7
 1:46,11:54, 23.7
 2:18,13:03, 24.7
 2:48,14:13, 25.7
 3:16,15:25, 26.7
 3:43,16:38, 27.7
 4:13,17:55, 28.7
 4:46,19:14,  0.3
 5:26,20:33,  1.3
 6:14,21:48,  2.3
