月の出,月の入,月齢
10:07,--:--,  5.0
11:09, 0:04,  6.0
12:08, 0:33,  7.0
13:05, 0:59,  8.0
14:00, 1:23,  9.0
14:55, 1:47, 10.0
15:51, 2:12, 11.0
16:48, 2:40, 12.0
17:47, 3:11, 13.0
18:46, 3:47, 14.0
19:44, 4:29, 15.0
20:39, 5:19, 16.0
21:27, 6:15, 17.0
22:10, 7:17, 18.0
22:47, 8:20, 19.0
23:19, 9:25, 20.0
23:49,10:29, 21.0
--:--,11:33, 22.0
 0:17,12:38, 23.0
 0:46,13:44, 24.0
 1:17,14:53, 25.0
 1:52,16:06, 26.0
 2:33,17:20, 27.0
 3:23,18:33, 28.0
 4:22,19:40, 29.0
 5:29,20:36,  0.7
 6:39,21:22,  1.7
 7:48,22:00,  2.7
 8:54,22:32,  3.7
 9:56,23:00,  4.7
