月の出,月の入,月齢
 7:24,23:05,  3.3
 8:28,23:59,  4.3
 9:37,--:--,  5.3
10:45, 0:43,  6.3
11:50, 1:18,  7.3
12:52, 1:47,  8.3
13:51, 2:12,  9.3
14:49, 2:35, 10.3
15:45, 2:56, 11.3
16:43, 3:18, 12.3
17:41, 3:42, 13.3
18:41, 4:08, 14.3
19:42, 4:39, 15.3
20:42, 5:15, 16.3
21:39, 5:58, 17.3
22:31, 6:49, 18.3
23:17, 7:47, 19.3
23:56, 8:50, 20.3
--:--, 9:56, 21.3
 0:29,11:03, 22.3
 0:59,12:10, 23.3
 1:27,13:18, 24.3
 1:54,14:28, 25.3
 2:22,15:40, 26.3
 2:52,16:56, 27.3
 3:28,18:14, 28.3
 4:12,19:32, 29.3
 5:05,20:44,  1.0
 6:08,21:46,  2.0
 7:17,22:36,  3.0
 8:28,23:15,  4.0
