月の出,月の入,月齢
13:26, 1:47, 10.8
13:55, 3:01, 11.8
14:29, 4:20, 12.8
15:12, 5:42, 13.8
16:07, 7:02, 14.8
17:14, 8:15, 15.8
18:28, 9:15, 16.8
19:45,10:02, 17.8
20:58,10:39, 18.8
22:07,11:08, 19.8
23:13,11:32, 20.8
--:--,11:53, 21.8
 0:15,12:14, 22.8
 1:16,12:35, 23.8
 2:17,12:57, 24.8
 3:18,13:22, 25.8
 4:20,13:51, 26.8
 5:22,14:26, 27.8
 6:22,15:09, 28.8
 7:18,16:00,  0.1
 8:07,16:58,  1.1
 8:48,18:01,  2.1
 9:23,19:07,  3.1
 9:53,20:13,  4.1
10:18,21:20,  5.1
10:42,22:26,  6.1
11:04,23:33,  7.1
11:27,--:--,  8.1
11:53, 0:43,  9.1
12:23, 1:57, 10.1
13:00, 3:15, 11.1
