月の出,月の入,月齢
20:12,7:00,17.7
20:36,8:02,18.7
21:01,9:05,19.7
21:27,10:09,20.7
21:58,11:16,21.7
22:35,12:26,22.7
23:20,13:39,23.7
--:--,14:51,24.7
0:16,15:58,25.7
1:23,16:55,26.7
2:37,17:42,27.7
3:53,18:21,28.7
5:08,18:53,0.4
6:20,19:21,1.4
7:28,19:47,2.4
8:33,20:13,3.4
9:37,20:39,4.4
10:40,21:07,5.4
11:43,21:39,6.4
12:45,22:16,7.4
13:44,22:58,8.4
14:39,23:48,9.4
15:29,--:--,10.4
16:12,0:43,11.4
16:50,1:42,12.4
17:22,2:45,13.4
17:50,3:47,14.4
18:16,4:50,15.4
18:40,5:53,16.4
19:05,6:56,17.4
19:32,8:01,18.4
