pref_name
札幌(北海道)
根室(北海道)
青森(青森県)
盛岡(岩手県)
仙台(宮城県)
秋田(秋田県)
山形(山形県)
福島(福島県)
水戸(茨城県)
宇都宮(栃木県)
前橋(群馬県)
さいたま(埼玉県)
千葉(千葉県)
東京(東京都)
小笠原[父島](東京都)
横浜(神奈川県)
新潟(新潟県)
富山(富山県)
金沢(石川県)
福井(福井県)
甲府(山梨県)
長野(長野県)
岐阜(岐阜県)
静岡(静岡県)
名古屋(愛知県)
津(三重県)
大津(滋賀県)
京都(京都府)
大阪(大阪府)
神戸(兵庫県)
奈良(奈良県)
和歌山(和歌山県)
鳥取(鳥取県)
松江(島根県)
岡山(岡山県)
広島(広島県)
山口(山口県)
徳島(徳島県)
高松(香川県)
松山(愛媛県)
高知(高知県)
福岡(福岡県)
佐賀(佐賀県)
長崎(長崎県)
熊本(熊本県)
大分(大分県)
宮崎(宮崎県)
鹿児島(鹿児島県)
那覇(沖縄県)
