月の出,月の入,月齢
 6:49,19:00,  1.1
 7:17,20:13,  2.1
 7:47,21:26,  3.1
 8:19,22:40,  4.1
 8:56,23:54,  5.1
 9:40,--:--,  6.1
10:32, 1:05,  7.1
11:31, 2:09,  8.1
12:36, 3:03,  9.1
13:42, 3:48, 10.1
14:47, 4:25, 11.1
15:49, 4:56, 12.1
16:49, 5:22, 13.1
17:47, 5:46, 14.1
18:45, 6:08, 15.1
19:42, 6:31, 16.1
20:39, 6:54, 17.1
21:38, 7:19, 18.1
22:39, 7:48, 19.1
23:39, 8:22, 20.1
--:--, 9:02, 21.1
 0:38, 9:51, 22.1
 1:33,10:47, 23.1
 2:23,11:51, 24.1
 3:06,12:59, 25.1
 3:43,14:10, 26.1
 4:16,15:22, 27.1
 4:45,16:34, 28.1
 5:14,17:47, 29.1
 5:43,19:02,  0.7
 6:15,20:18,  1.7
