月の出,月の入,月齢
19:54,6:28,17.7
20:13,7:35,18.7
20:33,8:43,19.7
20:54,9:53,20.7
21:19,11:06,21.7
21:50,12:22,22.7
22:31,13:40,23.7
23:24,14:55,24.7
--:--,16:02,25.7
0:31,16:57,26.7
1:48,17:40,27.7
3:10,18:13,28.7
4:31,18:40,0.4
5:49,19:02,1.4
7:02,19:23,2.4
8:14,19:43,3.4
9:23,20:04,4.4
10:31,20:27,5.4
11:39,20:54,6.4
12:45,21:27,7.4
13:48,22:07,8.4
14:45,22:55,9.4
15:34,23:51,10.4
16:15,--:--,11.4
16:48,0:54,12.4
17:15,2:00,13.4
17:39,3:08,14.4
18:00,4:16,15.4
18:19,5:25,16.4
18:39,6:33,17.4
19:00,7:44,18.4
