月の出,月の入,月齢
14:39,4:45,12.1
15:41,5:58,13.1
16:51,7:05,14.1
18:05,8:01,15.1
19:18,8:46,16.1
20:27,9:24,17.1
21:32,9:55,18.1
22:33,10:22,19.1
23:32,10:48,20.1
--:--,11:13,21.1
0:29,11:38,22.1
1:27,12:06,23.1
2:26,12:38,24.1
3:24,13:14,25.1
4:23,13:57,26.1
5:19,14:46,27.1
6:11,15:42,28.1
6:57,16:42,29.1
7:37,17:44,0.3
8:12,18:48,1.3
8:43,19:51,2.3
9:11,20:53,3.3
9:38,21:56,4.3
10:05,23:00,5.3
10:33,--:--,6.3
11:05,0:06,7.3
11:43,1:16,8.3
12:29,2:28,9.3
13:24,3:40,10.3
14:29,4:47,11.3
15:40,5:47,12.3
