月の出,月の入,月齢
13:57,23:02,  8.9
14:52,23:57,  9.9
15:41,--:--, 10.9
16:23, 1:00, 11.9
16:59, 2:07, 12.9
17:31, 3:16, 13.9
17:59, 4:26, 14.9
18:26, 5:36, 15.9
18:53, 6:47, 16.9
19:22, 7:59, 17.9
19:54, 9:13, 18.9
20:32,10:28, 19.9
21:18,11:43, 20.9
22:13,12:55, 21.9
23:16,13:58, 22.9
--:--,14:52, 23.9
 0:24,15:35, 24.9
 1:33,16:11, 25.9
 2:41,16:40, 26.9
 3:46,17:05, 27.9
 4:48,17:29, 28.9
 5:48,17:51,  0.3
 6:47,18:14,  1.3
 7:46,18:38,  2.3
 8:46,19:04,  3.3
 9:47,19:35,  4.3
10:47,20:12,  5.3
11:46,20:55,  6.3
12:42,21:46,  7.3
13:33,22:44,  8.3
