月の出,月の入,月齢
20:17,7:08,17.7
20:42,8:09,18.7
21:08,9:10,19.7
21:36,10:14,20.7
22:07,11:20,21.7
22:45,12:29,22.7
23:32,13:40,23.7
--:--,14:52,24.7
0:28,15:58,25.7
1:35,16:56,26.7
2:48,17:44,27.7
4:04,18:24,28.7
5:17,18:57,0.4
6:27,19:27,1.4
7:34,19:54,2.4
8:39,20:20,3.4
9:41,20:47,4.4
10:43,21:17,5.4
11:45,21:49,6.4
12:46,22:27,7.4
13:44,23:10,8.4
14:40,24:00,9.4
15:29,--:--,10.4
16:13,0:55,11.4
16:51,1:54,12.4
17:24,2:55,13.4
17:54,3:57,14.4
18:20,4:59,15.4
18:46,6:00,16.4
19:12,7:03,17.4
19:39,8:06,18.4
