月の出,月の入,月齢
 6:33,23:13,  3.3
 7:38,--:--,  4.3
 8:49, 0:05,  5.3
10:02, 0:44,  6.3
11:13, 1:14,  7.3
12:20, 1:38,  8.3
13:25, 1:58,  9.3
14:27, 2:16, 10.3
15:29, 2:33, 11.3
16:32, 2:50, 12.3
17:35, 3:09, 13.3
18:40, 3:30, 14.3
19:45, 3:56, 15.3
20:49, 4:28, 16.3
21:48, 5:08, 17.3
22:39, 5:57, 18.3
23:22, 6:56, 19.3
23:57, 8:03, 20.3
--:--, 9:14, 21.3
 0:25,10:26, 22.3
 0:50,11:40, 23.3
 1:11,12:54, 24.3
 1:33,14:09, 25.3
 1:54,15:28, 26.3
 2:19,16:50, 27.3
 2:49,18:15, 28.3
 3:27,19:38, 29.3
 4:16,20:52,  1.0
 5:17,21:53,  2.0
 6:28,22:39,  3.0
 7:44,23:14,  4.0
