月の出,月の入,月齢
 8:21,18:05,  1.2
 9:02,19:15,  2.2
 9:38,20:24,  3.2
10:10,21:32,  4.2
10:38,22:39,  5.2
11:06,23:47,  6.2
11:34,--:--,  7.2
12:04, 0:55,  8.2
12:39, 2:05,  9.2
13:21, 3:17, 10.2
14:11, 4:29, 11.2
15:09, 5:37, 12.2
16:14, 6:36, 13.2
17:21, 7:27, 14.2
18:28, 8:08, 15.2
19:32, 8:42, 16.2
20:32, 9:10, 17.2
21:30, 9:35, 18.2
22:27, 9:59, 19.2
23:23,10:21, 20.2
--:--,10:45, 21.2
 0:20,11:10, 22.2
 1:18,11:39, 23.2
 2:18,12:13, 24.2
 3:20,12:54, 25.2
 4:21,13:43, 26.2
 5:19,14:41, 27.2
 6:12,15:47, 28.2
 6:57,16:57, 29.2
 7:36,18:09,  0.6
 8:10,19:19,  1.6
