月の出,月の入,月齢
 7:15,22:54,  3.3
 8:20,23:48,  4.3
 9:28,--:--,  5.3
10:36, 0:32,  6.3
11:41, 1:07,  7.3
12:43, 1:37,  8.3
13:42, 2:02,  9.3
14:39, 2:25, 10.3
15:35, 2:47, 11.3
16:32, 3:09, 12.3
17:30, 3:33, 13.3
18:30, 4:00, 14.3
19:31, 4:30, 15.3
20:31, 5:07, 16.3
21:28, 5:50, 17.3
22:20, 6:41, 18.3
23:06, 7:38, 19.3
23:45, 8:41, 20.3
--:--, 9:47, 21.3
 0:19,10:54, 22.3
 0:49,12:01, 23.3
 1:17,13:08, 24.3
 1:44,14:18, 25.3
 2:12,15:30, 26.3
 2:43,16:45, 27.3
 3:20,18:03, 28.3
 4:04,19:21, 29.3
 4:57,20:33,  1.0
 6:00,21:35,  2.0
 7:09,22:25,  3.0
 8:19,23:05,  4.0
