月の出,月の入,月齢
13:30, 1:46, 10.8
14:01, 2:58, 11.8
14:38, 4:14, 12.8
15:24, 5:33, 13.8
16:20, 6:51, 14.8
17:27, 8:04, 15.8
18:40, 9:05, 16.8
19:55, 9:54, 17.8
21:06,10:32, 18.8
22:13,11:03, 19.8
23:15,11:30, 20.8
--:--,11:54, 21.8
 0:15,12:16, 22.8
 1:14,12:39, 23.8
 2:13,13:03, 24.8
 3:12,13:31, 25.8
 4:12,14:02, 26.8
 5:12,14:39, 27.8
 6:11,15:23, 28.8
 7:06,16:14,  0.1
 7:55,17:11,  1.1
 8:38,18:13,  2.1
 9:15,19:16,  3.1
 9:47,20:20,  4.1
10:14,21:24,  5.1
10:40,22:28,  6.1
11:05,23:33,  7.1
11:31,--:--,  8.1
11:59, 0:41,  9.1
12:31, 1:52, 10.1
13:11, 3:07, 11.1
